orderNumber;customerNumber;customerName;Total
10100;363;Online Diecast Creations Co.                      ;10195
10101;128;Blauer See Auto, Co.                              ;10551
10102;181;Vitachrome Inc.                                   ;5507
10103;121;Baane Mini Imports                                ;50205
10104;141;Euro+ Shopping Channel                            ;40176
10105;145;Danish Wholesale Imports                          ;53952
10106;278;Rovelli Gifts                                     ;52149
10107;131;Land of Toys Inc.                                 ;22286
10108;385;Cruz & Sons Co.                                   ;50977
10109;486;Motor Mint Distributors Inc.                      ;25844
10110;187;AV Stores, Co.                                    ;48413
10111;129;Mini Wheels Co.                                   ;16534
10112;144;Volvo Model Replicas, Co                          ;7668
10113;124;Mini Gifts Distributors Ltd.                      ;11067
10114;172;La Corne D'abondance, Co.                         ;33378
10115;424;Classic Legends Inc.                              ;21662
10116;381;Royale Belge                                      ;1620
10117;148;Dragon Souveniers, Ltd.                           ;44336
10118;216;Enaco Distributors                                ;3096
10119;382;Salzburg Collectables                             ;35777
10120;114;Australian Collectors, Co.                        ;45862
10121;353;Reims Collectables                                ;16698
10122;350;Marseille Mini Autos                              ;50845
10123;103;Atelier graphique                                 ;14564
10124;112;Signal Gift Stores                                ;32638
10125;114;Australian Collectors, Co.                        ;7540
10126;458;Corrida Auto Replicas, Ltd                        ;57141
10127;151;Muscle Machine Inc                                ;58903
10128;141;Euro+ Shopping Channel                            ;13888
10129;324;Stylish Desk Decors, Co.                          ;29375
10130;198;Auto-Moto Classics Inc.                           ;6060
10131;447;Gift Ideas Corp.                                  ;17082
10132;323;Down Under Souveniers, Inc                        ;2880
10133;141;Euro+ Shopping Channel                            ;22339
10134;250;Lyon Souveniers                                   ;23418
10135;124;Mini Gifts Distributors Ltd.                      ;55638
10136;242;Alpha Cognac                                      ;14210
10137;353;Reims Collectables                                ;13940
10138;496;Kelly's Gift Shop                                 ;32107
10139;282;Souveniers And Things Co.                         ;23981
10140;161;Technics Stores Inc.                              ;38681
10141;334;Suominen Souveniers                               ;29696
10142;124;Mini Gifts Distributors Ltd.                      ;56020
10143;320;Mini Creations Ltd.                               ;41065
10144;381;Royale Belge                                      ;1120
10145;205;Toys4GrownUps.com                                 ;50412
10146;447;Gift Ideas Corp.                                  ;6619
10147;379;Collectables For Less Inc.                        ;32655
10148;276;Anna's Decorations, Ltd                           ;41548
10149;487;Signal Collectibles Ltd.                          ;29995
10150;148;Dragon Souveniers, Ltd.                           ;38284
10151;311;Oulu Toy Supplies, Inc.                           ;32711
10152;333;Australian Gift Network, Co                       ;9812
10153;141;Euro+ Shopping Channel                            ;44977
10154;219;Boards & Toys Co.                                 ;4449
10155;186;Toys of Finland, Co.                              ;37605
10156;141;Euro+ Shopping Channel                            ;4624
10157;473;Frau da Collezione                                ;17744
10158;121;Baane Mini Imports                                ;1496
10159;321;Corporate Gift Ideas Co.                          ;54642
10160;347;Men 'R' US Retailers, Ltd.                        ;20471
10161;227;Heintze Collectables                              ;36134
10162;321;Corporate Gift Ideas Co.                          ;30878
10163;424;Classic Legends Inc.                              ;22015
10164;452;Mini Auto Werke                                   ;27154
10165;148;Dragon Souveniers, Ltd.                           ;67351
10166;462;FunGiftIdeas.com                                  ;9993
10167;448;Scandinavian Gift Ideas                           ;44222
10168;161;Technics Stores Inc.                              ;50766
10169;276;Anna's Decorations, Ltd                           ;38594
10170;452;Mini Auto Werke                                   ;15119
10171;233;Québec Home Shopping Network                      ;16904
10172;175;Gift Depot Inc.                                   ;24885
10173;278;Rovelli Gifts                                     ;37709
10174;333;Australian Gift Network, Co                       ;23919
10175;324;Stylish Desk Decors, Co.                          ;37498
10176;386;L'ordine Souveniers                               ;38512
10177;344;CAF Imports                                       ;31467
10178;242;Alpha Cognac                                      ;33890
